City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Coihaique,CL,2021-06-02 15:43:36,-45.5752,-72.0662,43.41,87,90,3.44
68,San Cristobal,VE,2021-06-02 15:43:38,7.7669,-72.225,75.38,56,100,5.26
69,Qaanaaq,GL,2021-06-02 15:43:39,77.484,-69.3632,27.16,80,26,2.44
70,Moses Lake,US,2021-06-02 15:40:44,47.1301,-119.2781,80.24,38,1,0.0
71,Yellowknife,CA,2021-06-02 15:43:41,62.456,-114.3525,57.33,87,75,1.01
72,Moree,AU,2021-06-02 15:43:43,-29.4667,149.85,60.82,63,75,10.36
73,Vakhrushev,RU,2021-06-02 15:43:44,48.9833,142.9667,44.46,96,13,3.18
74,Saint George,US,2021-06-02 15:40:33,37.1041,-113.5841,93.34,15,1,3.44
75,Fortuna,US,2021-06-02 15:41:55,40.5982,-124.1573,52.32,96,90,0.0
76,Albany,US,2021-06-02 15:43:04,42.6001,-73.9662,76.73,54,100,3.0
77,Upernavik,GL,2021-06-02 15:43:50,72.7868,-56.1549,31.44,80,40,7.09
78,Ambilobe,MG,2021-06-02 15:43:52,-13.2,49.05,74.66,70,35,2.26
79,Saraland,US,2021-06-02 15:43:53,30.8207,-88.0706,84.31,68,100,9.26
80,Chokurdakh,RU,2021-06-02 15:43:55,70.6333,147.9167,59.29,28,69,4.09
81,Busselton,AU,2021-06-02 15:45:51,-33.65,115.3333,60.31,69,94,3.06
82,Marawi,PH,2021-06-02 15:45:52,7.9986,124.2928,70.65,84,100,4.43
83,Samarai,PG,2021-06-02 15:45:53,-10.6167,150.6667,78.67,80,100,11.63
84,Solnechnyy,RU,2021-06-02 15:45:55,50.7214,136.6319,48.22,90,16,4.14
85,Mikhaylovskoye,RU,2021-06-02 15:45:56,51.8239,79.7172,72.25,59,8,7.74
86,Cam Ranh,VN,2021-06-02 15:45:58,11.9214,109.1591,84.16,65,20,6.96
87,La Ronge,CA,2021-06-02 15:45:59,55.1001,-105.2842,73.62,46,75,3.44
88,Esperance,AU,2021-06-02 15:46:00,-33.8667,121.9,57.04,78,72,8.9
89,Vostok,RU,2021-06-02 15:46:02,46.4856,135.8833,49.17,67,100,4.47
90,Bafra,TR,2021-06-02 15:46:03,41.5678,35.9069,64.81,90,100,3.65
91,Bubaque,GW,2021-06-02 15:46:04,11.2833,-15.8333,79.25,77,78,10.89
92,Port Lincoln,AU,2021-06-02 15:46:06,-34.7333,135.8667,59.25,81,3,14.36
93,Mar Del Plata,AR,2021-06-02 15:43:12,-38.0023,-57.5575,54.09,51,40,1.99
94,Kloulklubed,PW,2021-06-02 15:46:09,7.0419,134.2556,77.5,79,96,2.33
95,Bilibino,RU,2021-06-02 15:46:11,68.0546,166.4372,51.12,59,25,5.23
96,Saint-Philippe,RE,2021-06-02 15:46:12,-21.3585,55.7679,76.59,82,88,15.3
97,Umea,SE,2021-06-02 15:46:14,63.8284,20.2597,67.93,40,0,9.22
98,Coquimbo,CL,2021-06-02 15:46:15,-29.9533,-71.3436,55.13,100,24,8.57
99,Chiredzi,ZW,2021-06-02 15:46:16,-21.05,31.6667,67.55,63,0,9.93
100,Provideniya,RU,2021-06-02 15:46:18,64.3833,-173.3,32.27,63,11,6.29
101,Longyearbyen,SJ,2021-06-02 15:46:19,78.2186,15.6401,42.64,70,75,18.41
102,Atherton,GB,2021-06-02 15:46:21,53.5237,-2.4935,78.35,68,100,11.32
103,Hit,IQ,2021-06-02 15:46:22,33.6416,42.8251,92.98,14,0,13.04
104,Salinopolis,BR,2021-06-02 15:46:23,-0.6136,-47.3561,84.79,70,12,10.89
105,Atuona,PF,2021-06-02 15:46:25,-9.8,-139.0333,79.12,72,54,16.62
106,Rocha,UY,2021-06-02 15:46:26,-34.4833,-54.3333,59.34,67,63,15.39
107,Faanui,PF,2021-06-02 15:46:29,-16.4833,-151.75,80.1,71,42,13.91
108,Sao Filipe,CV,2021-06-02 15:46:30,14.8961,-24.4956,74.68,74,93,12.35
109,Marzuq,YE,2021-06-02 15:46:31,14.4,46.4667,81.18,51,80,10.04
110,Namatanai,PG,2021-06-02 15:46:33,-3.6667,152.4333,78.08,83,65,3.56
111,Karratha,AU,2021-06-02 15:46:34,-20.7377,116.8463,72.09,32,99,16.6
112,Nanortalik,GL,2021-06-02 15:46:35,60.1432,-45.2371,40.87,81,100,11.65
113,Porto Nacional,BR,2021-06-02 15:46:37,-10.7081,-48.4172,89.6,30,98,3.96
114,Luderitz,NA,2021-06-02 15:46:38,-26.6481,15.1594,69.35,36,0,14.32
115,Guaymas,MX,2021-06-02 15:46:40,27.9333,-110.9,81.88,46,28,7.65
116,Soyo,AO,2021-06-02 15:46:41,-6.1349,12.3689,84.25,74,6,9.4
117,Viareggio,IT,2021-06-02 15:46:42,43.8735,10.2558,81.41,61,100,3.85
118,Pisco,PE,2021-06-02 15:44:49,-13.7,-76.2167,64.02,88,90,3.44
119,Nhulunbuy,AU,2021-06-02 15:46:46,-12.2333,136.7667,72.21,88,7,0.0
120,Fairbanks,US,2021-06-02 15:46:48,64.8378,-147.7164,51.76,86,90,5.75
121,Anaco,VE,2021-06-02 15:46:49,9.4389,-64.4728,90.45,42,60,4.97
122,Novoraychikhinsk,RU,2021-06-02 15:46:50,49.7798,129.594,52.61,59,95,7.43
123,Anadyr,RU,2021-06-02 15:46:52,64.75,177.4833,25.3,86,0,4.56
124,Beringovskiy,RU,2021-06-02 15:46:53,63.05,179.3167,27.72,88,26,6.24
125,Saint Anthony,US,2021-06-02 15:46:55,45.0205,-93.218,73.74,63,1,6.38
126,Severo-Kurilsk,RU,2021-06-02 15:46:57,50.6789,156.125,40.03,90,28,7.9
127,Lompoc,US,2021-06-02 15:46:21,34.6391,-120.4579,68.92,77,81,1.99
128,Victoria,HK,2021-06-02 15:45:27,22.2855,114.1577,84.96,91,80,9.4
129,Susangerd,IR,2021-06-02 15:47:01,31.5608,48.1831,111.22,7,0,26.4
130,Chuy,UY,2021-06-02 15:47:02,-33.6971,-53.4616,64.06,57,34,12.73
131,Qasigiannguit,GL,2021-06-02 15:47:05,68.8193,-51.1922,43.05,56,2,3.8
132,New Norfolk,AU,2021-06-02 15:47:06,-42.7826,147.0587,50.72,78,100,1.99
133,Santarem,BR,2021-06-02 15:47:07,-2.4431,-54.7083,86.13,79,75,11.5
134,Tuatapere,NZ,2021-06-02 15:47:10,-46.1333,167.6833,49.82,90,29,5.28
135,Iqaluit,CA,2021-06-02 15:47:11,63.7506,-68.5145,33.53,86,90,5.99
136,Owando,CG,2021-06-02 15:47:13,-0.4819,15.8999,79.12,81,89,2.95
137,Bosaso,SO,2021-06-02 15:47:14,11.2842,49.1816,88.68,60,100,0.83
138,Gevrai,IN,2021-06-02 15:47:16,19.2667,75.75,86.72,52,80,6.02
139,Zhigalovo,RU,2021-06-02 15:47:17,54.8097,105.1578,54.28,61,35,2.93
140,Miraflores,MX,2021-06-02 15:47:18,19.2167,-98.8083,66.87,63,100,2.95
141,Sinnamary,GF,2021-06-02 15:47:20,5.3833,-52.95,84.02,70,23,2.82
142,Jalu,LY,2021-06-02 15:47:21,29.0331,21.5482,95.02,19,17,12.17
143,Kruisfontein,ZA,2021-06-02 15:47:23,-34.0033,24.7314,59.88,73,72,14.12
144,Namibe,AO,2021-06-02 15:47:24,-15.1961,12.1522,73.06,79,77,9.69
145,Makokou,GA,2021-06-02 15:47:25,0.5738,12.8642,77.34,83,90,3.2
146,Saquena,PE,2021-06-02 15:47:27,-4.6667,-73.5167,81.75,84,63,1.01
147,Asfi,MA,2021-06-02 15:47:28,32.2994,-9.2372,68.68,64,46,19.08
148,Kologriv,RU,2021-06-02 15:47:31,58.8275,44.3178,57.27,45,23,7.05
149,Cherskiy,RU,2021-06-02 15:47:32,68.75,161.3,46.04,47,41,7.23
150,Rawson,AR,2021-06-02 15:47:34,-43.3002,-65.1023,46.54,58,51,9.19
151,Acajutla,SV,2021-06-02 15:47:35,13.5928,-89.8275,88.14,55,67,2.73
152,Fort Saint James,CA,2021-06-02 15:47:38,54.4333,-124.25,65.1,62,100,3.2
153,Kaitangata,NZ,2021-06-02 15:47:39,-46.2817,169.8464,42.24,93,12,6.02
154,Oudtshoorn,ZA,2021-06-02 15:47:41,-33.5907,22.2014,59.36,61,89,6.4
155,Celestun,MX,2021-06-02 15:47:43,20.8667,-90.4,86.5,56,64,4.63
156,Saint Andrews,US,2021-06-02 15:47:44,34.0454,-81.1293,78.71,81,90,4.97
157,Araouane,ML,2021-06-02 15:47:47,18.9048,-3.5265,110.97,6,0,8.39
158,Benton Harbor,US,2021-06-02 15:47:15,42.1167,-86.4542,74.26,49,1,6.91
159,Kohtla-Jarve,EE,2021-06-02 15:47:49,59.3986,27.2731,58.01,65,5,4.59
160,High Level,CA,2021-06-02 15:47:51,58.5169,-117.136,64.51,59,90,0.58
161,Waingapu,ID,2021-06-02 15:47:52,-9.6567,120.2641,76.62,86,27,5.53
162,Ahipara,NZ,2021-06-02 15:47:54,-35.1667,173.1667,56.05,78,97,6.6
163,Adamovka,RU,2021-06-02 15:47:55,51.5223,59.9396,71.47,42,34,9.06
164,Suntar,RU,2021-06-02 15:47:56,62.1444,117.6319,56.21,76,18,7.78
165,Abaza,RU,2021-06-02 15:47:58,52.655,90.0928,57.61,94,59,5.14
166,Vieux-Habitants,GP,2021-06-02 15:47:59,16.0589,-61.7659,87.37,65,86,12.24
167,Nantucket,US,2021-06-02 15:48:00,41.2835,-70.0995,74.97,72,1,12.66
168,Kodiak,US,2021-06-02 15:46:57,57.79,-152.4072,45.91,87,90,8.05
169,Ribeira Grande,PT,2021-06-02 15:48:04,38.5167,-28.7,66.6,48,20,13.8
170,Varzea Grande,BR,2021-06-02 15:48:05,-15.6467,-56.1325,87.67,55,40,5.75
171,Lensk,RU,2021-06-02 15:48:07,60.7253,114.9278,60.04,67,51,3.42
172,Narsaq,GL,2021-06-02 15:48:08,60.9167,-46.05,48.42,56,100,7.54
173,Rio Gallegos,AR,2021-06-02 15:48:09,-51.6226,-69.2181,21.25,86,20,4.61
174,Aktash,RU,2021-06-02 15:48:11,50.3,87.7333,49.23,82,99,2.1
175,Pitimbu,BR,2021-06-02 15:48:12,-7.4706,-34.8086,84.79,63,30,12.33
176,Buala,SB,2021-06-02 15:48:14,-8.145,159.5921,79.93,83,46,4.07
177,Puerto Maldonado,PE,2021-06-02 15:48:16,-12.6,-69.1833,79.2,78,75,5.75
178,Olafsvik,IS,2021-06-02 15:48:17,64.8945,-23.7142,45.41,78,58,11.99
179,San Patricio,US,2021-06-02 15:48:19,28.017,-97.5169,85.87,67,100,4.29
180,Okoneshnikovo,RU,2021-06-02 15:48:20,54.8377,75.0834,56.25,65,29,7.18
181,Ewa Beach,US,2021-06-02 15:48:22,21.3156,-158.0072,76.08,76,75,5.01
182,Ilhabela,BR,2021-06-02 15:48:23,-23.7781,-45.3581,76.68,65,2,4.52
183,Kibakwe,TZ,2021-06-02 15:48:24,-6.7167,36.3667,65.61,78,69,5.44
184,Komsomolskiy,UZ,2021-06-02 15:48:26,40.4272,71.7189,86.72,21,40,6.91
185,Cuamba,MZ,2021-06-02 15:48:27,-14.8031,36.5372,72.88,63,100,2.66
186,Morondava,MG,2021-06-02 15:48:28,-20.2833,44.2833,75.67,73,6,11.39
187,Mattawa,US,2021-06-02 15:48:30,46.7379,-119.9028,85.01,31,12,0.67
188,Itarema,BR,2021-06-02 15:48:31,-2.9248,-39.9167,86.36,62,47,13.42
189,Katsuura,JP,2021-06-02 15:48:33,35.1333,140.3,70.11,83,100,8.37
190,Colac,AU,2021-06-02 15:48:34,-38.3333,143.5833,54.18,81,97,2.17
191,Sandata,RU,2021-06-02 15:48:36,46.2708,41.7583,64.99,84,99,12.15
192,Sabzevar,IR,2021-06-02 15:48:37,36.2126,57.6819,99.68,6,0,18.41
193,Sidi Ali,DZ,2021-06-02 15:48:38,36.0998,0.4206,75.36,47,6,13.31
194,Verkhoyansk,RU,2021-06-02 15:48:40,67.5447,133.385,58.01,49,93,2.17
195,Ponta Do Sol,PT,2021-06-02 15:48:41,32.6667,-17.1,68.13,69,96,9.31
196,Vila Velha,BR,2021-06-02 15:45:53,-20.3297,-40.2925,80.55,65,20,9.22
197,Grand Gaube,MU,2021-06-02 15:48:44,-20.0064,57.6608,77.4,63,14,10.0
198,Bardiyah,LY,2021-06-02 15:48:45,31.7561,25.0865,71.53,54,4,13.87
199,Tura,IN,2021-06-02 15:48:46,25.5198,90.2201,74.46,95,13,6.46
200,Grand-Santi,GF,2021-06-02 15:48:48,4.25,-54.3833,80.87,92,73,2.53
